"id";"title";"short_name";"active_flag";"created_by";"updated_by";"created_at";"updated_at"
1;"974 - Stadium 974";"974";1;10;10;"2024-08-05 13:40:33";"2025-03-18 08:17:05"
3;"Doha Exhibition Center";"DEC";1;10;10;"2024-08-05 19:51:21";"2024-08-06 17:27:12"
5;"ASZ - ASPIRE ZONE";"ASZ";1;10;10;"2025-03-02 14:06:20";"2025-03-02 14:06:20"
6;"KIS - KHALIFA INTERNATIONAL STADIUM";"KIS";1;1;1;"2025-03-06 23:59:47";"2025-03-06 23:59:47"
7;"AAS - Ahmad bin Ali Stadium";"AAS";1;1;1;"2025-03-18 08:14:05";"2025-03-18 08:16:56"
8;"LUS - Lusail Stadium";"LUS";1;1;1;"2025-03-18 08:14:21";"2025-03-18 08:16:50"
9;"ABS - Al Bayt Stadium";"ABS";1;1;1;"2025-03-18 08:14:34";"2025-03-18 08:16:44"
10;"LIC - Lusail International Circuit";"LIC";1;1;1;"2025-03-18 08:21:03";"2025-03-18 08:21:03"
